   Simulation of System of Electrical Resistive Network
==========================================================
          R1 = 20.20, R2 = 30.50, R3 = 16.20
----------------------------------------------------------
Vs(t)           Vr1(t)           Vr2(t)           Vr3(t)
..........................................................

220             66.4275          100.299          53.2735    

350             105.68           159.567          84.7534    

1000            301.943          455.904          242.152    

3350            1011.51          1527.28          811.211    

1250            377.429          569.88           302.691    

600             181.166          273.543          145.291    

55              16.6069          25.0747          13.3184    

140             42.272           63.8266          33.9013    

250             75.4858          113.976          60.5381    

6500            1962.63          2963.38          1573.99    
