   Simulation of System of Electrical Resistive Network
==========================================================
          R1 = 20.20, R2 = 30.50, R3 = 16.20
----------------------------------------------------------
Vs(t)           Vr1(t)           Vr2(t)           Vr3(t)
..........................................................

    220.00             66.43             100.30              53.27   

    350.00            105.68             159.57              84.75   

   1000.00            301.94             455.90             242.15   

   3350.00           1011.51            1527.28             811.21   

   1250.00            377.43             569.88             302.69   

    600.00            181.17             273.54             145.29   

     55.00             16.61              25.07              13.32   

    140.00             42.27              63.83              33.90   

    250.00             75.49             113.98              60.54   

   6500.00           1962.63            2963.38            1573.99   
